Sample,Total,Mapped,Fragments,ReadsInPeaks,FRiP,Ind,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP29,36074904,36074904,35826066,1685,0.000047,Ind1,VEH,p53,ChIP_DNA,Ind1_VEH_p53,VEH_p53,Ind1_p53,Ind1_ChIP_DNA
MCW_SP_ChIP30,47670445,47670445,46807342,5070,0.000108,Ind1,DOX,p53,ChIP_DNA,Ind1_DOX_p53,DOX_p53,Ind1_p53,Ind1_ChIP_DNA
MCW_SP_ChIP33,32727537,32727537,32431936,25493,0.000786,Ind2,VEH,p53,ChIP_DNA,Ind2_VEH_p53,VEH_p53,Ind2_p53,Ind2_ChIP_DNA
MCW_SP_ChIP34,13249848,13249848,13114460,2625,0.0002,Ind2,DOX,p53,ChIP_DNA,Ind2_DOX_p53,DOX_p53,Ind2_p53,Ind2_ChIP_DNA
MCW_SP_ChIP41,22286513,22286513,22094846,12334,0.000558,Ind3,VEH,p53,ChIP_DNA,Ind3_VEH_p53,VEH_p53,Ind3_p53,Ind3_ChIP_DNA
MCW_SP_ChIP42,32116782,32116782,31904882,14506,0.000455,Ind3,DOX,p53,ChIP_DNA,Ind3_DOX_p53,DOX_p53,Ind3_p53,Ind3_ChIP_DNA
MCW_SP_ChIP45,34802564,34802564,34568640,4365,0.000126,Ind4,VEH,p53,ChIP_DNA,Ind4_VEH_p53,VEH_p53,Ind4_p53,Ind4_ChIP_DNA
MCW_SP_ChIP46,10587631,10587631,10487552,3573,0.000341,Ind4,DOX,p53,ChIP_DNA,Ind4_DOX_p53,DOX_p53,Ind4_p53,Ind4_ChIP_DNA
MCW_SP_ChIP53,45751172,45751172,45424614,22506,0.000495,Ind5,VEH,p53,ChIP_DNA,Ind5_VEH_p53,VEH_p53,Ind5_p53,Ind5_ChIP_DNA
MCW_SP_ChIP54,52499746,52499746,52127924,60525,0.001161,Ind5,DOX,p53,ChIP_DNA,Ind5_DOX_p53,DOX_p53,Ind5_p53,Ind5_ChIP_DNA
MCW_SP_ChIP57,15228810,15228810,15041750,7754,0.000515,Ind6,VEH,p53,ChIP_DNA,Ind6_VEH_p53,VEH_p53,Ind6_p53,Ind6_ChIP_DNA
MCW_SP_ChIP58,31670839,31670839,31405244,15828,0.000504,Ind6,DOX,p53,ChIP_DNA,Ind6_DOX_p53,DOX_p53,Ind6_p53,Ind6_ChIP_DNA
